holding_key,account_name,institution,asset_name,asset_type,category,currency,current_value,as_of_date,quantity,price,symbol,isin,country,issuer,notes
cash-inr-main,Cash Wallet,Manual,Cash Wallet,cash,Cash,INR,0,2026-06-23,,,,,IN,Manual,Replace with cash balance
fd-bank-main,Fixed Deposits,Bank,Fixed Deposit Example,fd,Debt,INR,0,2026-06-23,,,,,IN,Bank,Replace with FD current or maturity value
espp-usd-main,Employer ESPP,Employer,ESPP Contribution,espp,Equity,USD,0,2026-06-23,,,,,US,Employer,Enter simple employee ESPP contribution/current value
ppf-main,PPF,Bank/Post Office,Public Provident Fund,ppf,Debt,INR,0,2026-06-23,,,,,IN,Government of India,Replace with PPF statement balance
ssy-main,SSY,Bank/Post Office,Sukanya Samriddhi Account,ssy,Debt,INR,0,2026-06-23,,,,,IN,Government of India,Replace with SSY statement balance
epf-employee,EPFO,EPFO,EPF Employee Share,epf,Debt,INR,0,2026-06-23,,,,,IN,EPFO,Replace with PF balance if manually entering
nps-equity-e,NPS,CRA/POP,NPS Scheme E,nps,Equity,INR,0,2026-06-23,,,,,IN,Pension Fund,Replace with NPS E current value
nps-debt-g,NPS,CRA/POP,NPS Scheme G,nps,Debt,INR,0,2026-06-23,,,,,IN,Pension Fund,Replace with NPS G current value
in-stock-example,Indian Broker,Broker,Indian Stock Example,indian_stock,Equity,INR,0,2026-06-23,0,,,,IN,Company,Use symbol/ISIN when known
us-stock-fidelity-example,Fidelity US,Fidelity,US Stock Example,us_stock,Equity,USD,0,2026-06-23,0,,EXAMPLE,,US,Company,Fidelity-style manual US stock holding
gold-main,Gold,Manual,Gold Holding,gold,Gold,INR,0,2026-06-23,,,,,IN,Manual,Gold ETF/SGB/physical gold
other-main,Other Assets,Manual,Other Asset,other,Others,INR,0,2026-06-23,,,,,,Manual,Custom asset
